Start Time,Workflow,Subflow,Action,Comment
2024-11-23 21:28:10.761,PADFramework,Main,29,Student processed with result:System Exception - studentID input element couldn't be loaded
2024-11-23 21:28:11.101,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:28:11.927,PADFramework,Main,29,Student processed with result:BusinessException - Student ID is empty
2024-11-23 21:28:12.312,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:28:19.769,PADFramework,Main,29,Student processed with result:System Exception - studentID input element couldn't be loaded
2024-11-23 21:28:20.154,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:28:21.073,PADFramework,Main,29,Student processed with result:BusinessException - Student ID is not in the correct format
2024-11-23 21:28:21.411,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:28:28.796,PADFramework,Main,29,Student processed with result:System Exception - studentID input element couldn't be loaded
2024-11-23 21:28:29.451,PADFramework,Main,40,Workflow ending
2024-11-23 21:30:05.313,PADFramework,Main,1,Workflow Starting
2024-11-23 21:30:09.781,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:30:18.218,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:30:18.580,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:30:19.367,PADFramework,Main,29,Student processed with result:BusinessException - Student ID is empty
2024-11-23 21:30:19.738,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:30:27.517,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:30:27.847,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:30:28.850,PADFramework,Main,29,Student processed with result:BusinessException - Student ID is not in the correct format
2024-11-23 21:30:29.183,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:30:36.952,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:30:37.592,PADFramework,Main,40,Workflow ending
2024-11-23 21:38:17.454,PADFramework,Main,1,Workflow Starting
2024-11-23 21:38:22.080,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:38:30.600,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:38:30.933,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:38:31.728,PADFramework,Main,29,Student processed with result:BusinessException - Student ID is empty
2024-11-23 21:38:32.104,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:38:39.867,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:38:40.237,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:38:41.186,PADFramework,Main,29,Student processed with result:BusinessException - Student ID is not in the correct format
2024-11-23 21:38:41.541,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:38:49.344,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:38:50.031,PADFramework,Main,40,Workflow ending
2024-11-23 21:43:48.915,PADFramework,Main,1,Workflow Starting
2024-11-23 21:43:54.121,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:44:02.558,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:44:02.948,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:44:03.776,PADFramework,Main,29,Student processed with result:BusinessException - Student ID is empty
2024-11-23 21:44:04.151,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:44:11.883,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:44:12.262,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:44:13.218,PADFramework,Main,29,Student processed with result:BusinessException - Student ID is not in the correct format
2024-11-23 21:44:13.593,PADFramework,Main,20,NewStudentProcessing
2024-11-23 21:44:21.401,PADFramework,Main,29,Student processed with result:Success
2024-11-23 21:44:22.233,PADFramework,Main,40,Workflow ending
